timestamp,device_id,data_category,min_value,avg_value,max_value
1774923840,565,14211,0,0,0
1774923900,565,14223,0,0,0
1774923900,565,14221,0,0,0
1774923900,565,14215,0,0,0
1774923900,565,14211,0,0,0
1774923960,565,14223,0,0,0
1774923960,565,14221,0,0,0
1774923960,565,14215,0,0,0
1774923960,565,14211,0,0,0
1774924020,565,14223,0,0,0
1774924020,565,14221,0,0,0
1774924020,565,14215,0,0,0
1774924020,565,14211,0,0,0
1774924080,565,14223,0,0,0
1774924080,565,14221,0,0,0
1774924080,565,14215,0,0,0
1774924080,565,14211,0,0,0
1774924140,565,14223,0,0,0
1774924140,565,14221,0,0,0
1774924140,565,14215,0,0,0
1774924140,565,14211,0,0,0
1774924200,565,14223,0,0,0
1774924200,565,14221,0,0,0
1774924200,565,14215,0,0,0
1774924200,565,14211,0,0,0
1774924260,565,14223,0,0,0
1774924260,565,14221,0,0,0
1774924260,565,14215,0,0,0
1774924260,565,14211,0,0,0
1774924320,565,14223,0,0,0
1774924320,565,14221,0,0,0
1774924320,565,14215,0,0,0
1774924320,565,14211,0,0,0
1774924380,565,14223,0,0,0
1774924380,565,14221,0,0,0
1774924380,565,14215,0,0,0
1774924380,565,14211,0,0,0
1774924440,565,14223,0,0,0
1774924440,565,14221,0,0,0
1774924440,565,14215,0,0,0
1774924440,565,14211,0,0,0
1774924500,565,14223,0,0,0
1774924500,565,14221,0,0,0
1774924500,565,14215,0,0,0
1774924500,565,14211,0,0,0
1774924560,565,14223,0,0,0
1774924560,565,14221,0,0,0
1774924560,565,14215,0,0,0
1774924560,565,14211,0,0,0
1774924620,565,14223,0,0,0
1774924620,565,14221,0,0,0
1774924620,565,14215,0,0,0
1774924620,565,14211,0,0,0
1774924680,565,14223,0,0,0
1774924680,565,14221,0,0,0
1774924680,565,14215,0,0,0
1774924680,565,14211,0,0,0
1774924740,565,14223,0,0,0
1774924740,565,14221,0,0,0
1774924740,565,14215,0,0,0
1774924740,565,14211,0,0,0
1774924800,565,14223,0,0,0
1774924800,565,14221,0,0,0
1774924800,565,14215,0,0,0
1774924800,565,14211,0,0,0
1774924860,565,14223,0,0,0
1774924860,565,14221,0,0,0
1774924860,565,14215,0,0,0
1774924860,565,14211,0,0,0
